name,Al,Si,Fe,Ca,Mg,Ti,K,P,Mn,Sr,Na,Rb,Zr,Zn,V,S,Ba,Cr,Y
C09,23.780,43.323,11.761,0.621,9.683,1.350,8.634,0,0.171,0,0.643,0,0,0,0,0,0.034,0,0
C10,22.711,43.323,11.729,0.475,12.254,1.169,7.695,0,0.276,0,0.339,0,0,0,0,0,0.029,0,0
C11,23.039,43.323,11.390,0.409,10.572,1.301,8.640,0,0.295,0,1.003,0,0,0,0,0,0.028,0,0
C12,23.555,43.323,11.939,0.557,9.907,1.295,8.793,0,0.169,0,0.432,0,0,0,0,0,0.031,0,0
C13,23.907,43.323,12.594,0.376,8.377,1.374,8.848,0,0.742,0,0.414,0,0,0,0,0,0.045,0,0
C14,28.241,43.323,14.550,0.497,8.902,1.694,1.830,0,0.400,0,0.520,0,0,0,0,0,0.043,0,0
GO1,24.993,43.323,11.613,0.625,8.123,1.207,9.717,0,0.237,0,0.129,0,0,0,0,0,0.032,0,0
G02,24.910,43.323,11.484,0.633,8.317,1.246,9.795,0,0.179,0,0.084,0,0,0,0,0,0.027,0,0
T11,45.223,43.323,3.163,0.074,1.656,1.606,4.844,0,0.002,0,0.074,0,0,0,0,0,0.035,0,0
T12,40.493,43.323,6.125,0.026,1.615,3.306,4.972,0,0.003,0,0.103,0,0,0,0,0,0.036,0,0
T13,43.809,43.323,3.651,0.024,1.631,2.239,5.135,0,0.002,0,0.146,0,0,0,0,0,0.039,0,0
T14,42.959,43.323,4.487,0.024,1.623,2.649,4.773,0,0.014,0,0.095,0,0,0,0,0,0.053,0,0
T16,43.909,43.323,3.188,0.148,1.520,2.660,5.003,0,0.004,0,0.211,0,0,0,0,0,0.034,0,0
A11,44.857,43.323,2.838,0.152,1.419,2.002,5.221,0,0.003,0,0.152,0,0,0,0,0,0.033,0,0
Al2,44.620,43.323,2.780,0.146,1.634,2.170,5.145,0,0.015,0,0.122,0,0,0,0,0,0.046,0,0
A16,45.294,43.323,2.495,0.027,1.437,2.468,4.773,0,0.011,0,0.136,0,0,0,0,0,0.035,0,0
A18,38.481,43.323,7.124,0.078,1.742,3.484,5.590,0,0.008,0,0.130,0,0,0,0,0,0.039,0,0
A26,44.576,43.323,3.827,0.233,1.400,2.427,4.084,0,0.016,0,0.070,0,0,0,0,0,0.042,0,0
1,18.8,0,9.52,0.79,2.000,01.01,3.2,0,0.077,0,0.4,0,0,0,0,0,0.015,0,0
2,16.9,0,7.33,0.84,1.65,0.99,03.05,0,0.067,0,0.4,0,0,0,0,0,0.018,0,0
3,18.2,0,7.64,0.77,1.82,0.98,03.07,0,0.087,0,0.4,0,0,0,0,0,0.014,0,0
4,17.4,0,7.48,01.01,1.71,0.03,3.16,0,0.084,0,0.4,0,0,0,0,0,0.017,0,0
5,16.9,0,7.29,0.76,1.56,1.000,03.05,0,0.063,0,0.4,0,0,0,0,0,0.019,0,0
6,17.8,0,7.24,0.92,1.83,0.93,3.12,0,0.061,0,0.43,0,0,0,0,0,0.019,0,0
7,18.8,0,7.45,0.87,02.06,0.98,3.26,0,0.072,0,0.25,0,0,0,0,0,0.017,0,0
8,16.5,0,07.05,1.73,1.81,0.95,3.2,0,0.066,0,0.33,0,0,0,0,0,0.019,0,0
9,18.000,0,7.42,1.000,02.06,0.96,3.37,0,0.072,0,0.28,0,0,0,0,0,0.017,0,0
10,15.8,0,7.15,0.71,1.62,0.93,3.25,0,0.062,0,0.38,0,0,0,0,0,0.017,0,0
11,14.6,0,6.87,0.76,1.67,0.91,03.06,0,0.055,0,0.33,0,0,0,0,0,0.012,0,0
12,13.7,0,5.83,0.66,1.5,0.75,2.25,0,0.034,0,0.13,0,0,0,0,0,0.012,0,0
13,14.6,0,6.76,1.48,1.63,0.87,03.02,0,0.055,0,0.2,0,0,0,0,0,0.016,0,0
14,14.8,0,07.07,1.44,1.62,0.86,03.03,0,0.08,0,0.24,0,0,0,0,0,0.016,0,0
15,17.1,0,7.79,0.83,1.99,0.93,3.13,0,0.09,0,0.46,0,0,0,0,0,0.02,0,0
16,16.8,0,7.86,0.84,1.86,0.94,2.93,0,0.094,0,0.46,0,0,0,0,0,0.02,0,0
17,15.8,0,7.65,0.81,1.94,0.96,3.33,0,0.112,0,0.83,0,0,0,0,0,0.019,0,0
18,18.6,0,7.85,0.87,2.33,0.98,3.17,0,0.081,0,0.38,0,0,0,0,0,0.018,0,0
19,16.9,0,7.87,1.31,1.83,0.95,03.09,0,0.092,0,0.53,0,0,0,0,0,0.023,0,0
20,18.9,0,7.58,0.83,02.05,0.98,3.29,0,0.072,0,0.13,0,0,0,0,0,0.015,0,0
21,18.000,0,7.5,0.69,1.94,0.93,3.14,0,0.035,0,0.12,0,0,0,0,0,0.017,0,0
22,17.8,0,7.28,0.81,1.92,0.9,3.15,0,0.067,0,0.18,0,0,0,0,0,0.017,0,0
23,14.4,0,7.000,0.15,4.3,0.79,4.25,0,0.16,0,0.51,0,0,0,0,0,0.019,0,0
24,13.8,0,7.08,0.12,3.43,0.77,4.14,0,0.144,0,0.17,0,0,0,0,0,0.02,0,0
25,14.6,0,7.09,0.13,3.88,0.81,4.36,0,0.124,0,0.2,0,0,0,0,0,0.019,0,0
26,11.5,0,6.37,0.16,5.64,0.69,3.89,0,0.087,0,0.14,0,0,0,0,0,0.009,0,0
27,13.8,0,7.06,0.2,5.34,0.71,4.31,0,0.101,0,0.2,0,0,0,0,0,0.021,0,0
28,10.9,0,6.26,0.17,3.47,0.66,3.4,0,0.109,0,0.22,0,0,0,0,0,0.01,0,0
29,10.1,0,4.26,0.2,4.26,0.59,3.32,0,0.149,0,0.18,0,0,0,0,0,0.017,0,0
30,11.6,0,5.78,0.18,5.91,0.65,3.7,0,0.082,0,0.16,0,0,0,0,0,0.015,0,0
31,11.1,0,5.49,0.29,4.52,0.63,04.03,0,0.08,0,0.3,0,0,0,0,0,0.016,0,0
32,13.4,0,6.92,0.28,7.23,0.69,4.54,0,0.163,0,0.2,0,0,0,0,0,0.017,0,0
33,12.4,0,6.13,0.22,5.69,0.7,4.65,0,0.159,0,0.54,0,0,0,0,0,0.015,0,0
34,13.1,0,6.64,0.31,5.51,0.72,4.89,0,0.094,0,0.24,0,0,0,0,0,0.017,0,0
35,12.7,0,6.69,0.2,4.45,0.73,4.7,0,0.394,0,0.22,0,0,0,0,0,0.024,0,0
36,12.5,0,6.44,0.22,3.94,0.75,0.81,0,0.177,0,0.23,0,0,0,0,0,0.019,0,0
37,11.6,0,5.39,0.29,3.77,0.56,4.51,0,0.11,0,0.06,0,0,0,0,0,0.015,0,0
38,11.8,0,5.44,0.3,3.94,0.59,4.64,0,0.085,0,0.04,0,0,0,0,0,0.013,0,0
39,18.3,0,1.28,0.03,0.67,0.65,1.96,0,0.001,0,0.03,0,0,0,0,0,0.014,0,0
40,15.8,0,2.39,0.01,0.63,1.29,1.94,0,0.001,0,0.04,0,0,0,0,0,0.014,0,0
41,18.000,0,1.5,0.01,0.67,0.92,2.11,0,0.001,0,0.06,0,0,0,0,0,0.016,0,0
42,18.000,0,1.88,0.01,0.68,1.11,2.000,0,0.006,0,0.04,0,0,0,0,0,0.022,0,0
43,20.8,0,1.51,0.07,0.72,1.26,2.37,0,0.002,0,0.1,0,0,0,0,0,0.016,0,0
44,17.7,0,1.12,0.06,0.56,0.79,02.06,0,0.001,0,0.06,0,0,0,0,0,0.013,0,0
45,18.3,0,1.14,0.06,0.67,0.89,2.11,0,0.006,0,0.05,0,0,0,0,0,0.019,0,0
46,16.7,0,0.92,0.01,0.53,0.91,1.76,0,0.004,0,0.05,0,0,0,0,0,0.013,0,0
47,14.8,0,2.74,0.03,0.67,1.34,2.15,0,0.003,0,0.05,0,0,0,0,0,0.015,0,0
48,19.1,0,1.64,0.1,0.6,1.04,1.75,0,0.007,0,0.03,0,0,0,0,0,0.018,0,0
GA1,18.8,0,9.52,2.00,3.20,0.79,01.01,0,0.077,0,0.40,0,0,0,0,0,0.015,0,0
GA2,16.9,0,7.33,1.65,03.05,0.84,0.99,0,0.067,0,0.40,0,0,0,0,0,0.018,0,0
GA3,18.2,0,7.64,1.82,03.07,0.77,0.98,0,0.087,0,0.40,0,0,0,0,0,0.014,0,0
GA4,17.4,0,7.48,1.71,3.16,01.01,0.03,0,0.084,0,0.40,0,0,0,0,0,0.017,0,0
GA5,16.9,0,7.29,1.56,03.05,0.76,1.00,0,0.063,0,0.40,0,0,0,0,0,0.019,0,0
GB1,17.8,0,7.24,1.83,3.12,0.92,0.93,0,0.061,0,0.43,0,0,0,0,0,0.019,0,0
GB2,18.8,0,7.45,02.06,3.26,0.87,0.98,0,0.072,0,0.25,0,0,0,0,0,0.017,0,0
GB3,16.5,0,07.05,1.81,3.20,1.73,0.95,0,0.066,0,0.33,0,0,0,0,0,0.019,0,0
GB4,18.0,0,7.42,02.06,3.37,1.00,0.96,0,0.072,0,0.28,0,0,0,0,0,0.017,0,0
GB5,15.8,0,7.15,1.62,3.25,0.71,0.93,0,0.062,0,0.38,0,0,0,0,0,0.017,0,0
GC1,14.6,0,6.87,1.67,03.06,0.76,0.91,0,0.055,0,0.33,0,0,0,0,0,0.012,0,0
GC2,13.7,0,5.83,1.50,2.25,0.66,0.75,0,0.034,0,0.13,0,0,0,0,0,0.012,0,0
GC3,14.6,0,6.76,1.63,03.02,1.48,0.87,0,0.055,0,0.20,0,0,0,0,0,0.016,0,0
GC4,14.8,0,07.07,1.62,03.03,1.44,0.86,0,0.080,0,0.24,0,0,0,0,0,0.016,0,0
GD1,17.1,0,7.79,1.99,3.13,0.83,0.93,0,0.090,0,0.46,0,0,0,0,0,0.020,0,0
GD2,16.8,0,7.86,1.86,2.93,0.84,0.94,0,0.094,0,0.46,0,0,0,0,0,0.020,0,0
GD3,15.8,0,7.65,1.94,3.33,0.81,0.96,0,0.112,0,0.83,0,0,0,0,0,0.019,0,0
GD4,18.6,0,7.85,2.33,3.17,0.87,0.98,0,0.081,0,0.38,0,0,0,0,0,0.018,0,0
GD5,16.9,0,7.87,1.83,03.09,1.31,0.95,0,0.092,0,0.53,0,0,0,0,0,0.023,0,0
GE1,18.9,0,7.58,02.05,3.29,0.83,0.98,0,0.072,0,0.13,0,0,0,0,0,0.015,0,0
GE2,18.0,0,7.50,1.94,3.14,0.69,0.93,0,0.035,0,0.12,0,0,0,0,0,0.017,0,0
GE3,17.8,0,7.28,1.92,3.15,0.81,0.90,0,0.067,0,0.18,0,0,0,0,0,0.017,0,0
C01,14.4,0,7.00,4.30,4.25,0.15,0.79,0,0.160,0,0.51,0,0,0,0,0,0.019,0,0
CO2,13.8,0,07.08,3.43,4.14,0.12,0.77,0,0.144,0,0.17,0,0,0,0,0,0.020,0,0
CO3,14.6,0,07.09,3.88,4.36,0.13,0.81,0,0.124,0,0.20,0,0,0,0,0,0.019,0,0
C04,11.5,0,6.37,5.64,3.89,0.16,0.69,0,0.087,0,0.14,0,0,0,0,0,0.009,0,0
CO5,13.8,0,07.06,5.34,4.31,0.20,0.71,0,0.101,0,0.20,0,0,0,0,0,0.021,0,0
C06,10.9,0,6.26,3.47,3.40,0.17,0.66,0,0.109,0,0.22,0,0,0,0,0,0.010,0,0
C07,10.1,0,4.26,4.26,3.32,0.20,0.59,0,0.149,0,0.18,0,0,0,0,0,0.017,0,0
C08,11.6,0,5.78,5.91,3.70,0.18,0.65,0,0.082,0,0.16,0,0,0,0,0,0.015,0,0
C09,11.1,0,5.49,4.52,04.03,0.29,0.63,0,0.080,0,0.30,0,0,0,0,0,0.016,0,0
C10,13.4,0,6.92,7.23,4.54,0.28,0.69,0,0.163,0,0.20,0,0,0,0,0,0.017,0,0
C11,12.4,0,6.13,5.69,4.65,0.22,0.70,0,0.159,0,0.54,0,0,0,0,0,0.015,0,0
C12,13.1,0,6.64,5.51,4.89,0.31,0.72,0,0.094,0,0.24,0,0,0,0,0,0.017,0,0
C13,12.7,0,6.69,4.45,4.70,0.20,0.73,0,0.394,0,0.22,0,0,0,0,0,0.024,0,0
C14,12.5,0,6.44,3.94,0.81,0.22,0.75,0,0.177,0,0.23,0,0,0,0,0,0.019,0,0
GO1,11.6,0,5.39,3.77,4.51,0.29,0.56,0,0.110,0,0.06,0,0,0,0,0,0.015,0,0
G02,11.8,0,5.44,3.94,4.64,0.30,0.59,0,0.085,0,0.04,0,0,0,0,0,0.013,0,0
T11,18.3,0,1.28,0.67,1.96,0.03,0.65,0,0.001,0,0.03,0,0,0,0,0,0.014,0,0
T12,15.8,0,2.39,0.63,1.94,0.01,1.29,0,0.001,0,0.04,0,0,0,0,0,0.014,0,0
T13,18.0,0,1.50,0.67,2.11,0.01,0.92,0,0.001,0,0.06,0,0,0,0,0,0.016,0,0
T14,18.0,0,1.88,0.68,2.00,0.01,1.11,0,0.006,0,0.04,0,0,0,0,0,0.022,0,0
T16,20.8,0,1.51,0.72,2.37,0.07,1.26,0,0.002,0,0.10,0,0,0,0,0,0.016,0,0
A11,17.7,0,1.12,0.56,02.06,0.06,0.79,0,0.001,0,0.06,0,0,0,0,0,0.013,0,0
Al2,18.3,0,1.14,0.67,2.11,0.06,0.89,0,0.006,0,0.05,0,0,0,0,0,0.019,0,0
A16,16.7,0,0.92,0.53,1.76,0.01,0.91,0,0.004,0,0.05,0,0,0,0,0,0.013,0,0
A18,14.8,0,2.74,0.67,2.15,0.03,1.34,0,0.003,0,0.05,0,0,0,0,0,0.015,0,0
A26,19.1,0,1.64,0.60,1.75,0.10,01.04,0,0.007,0,0.03,0,0,0,0,0,0.018,0,0
